TICKER	CCAT
AXRA Index	503080
AXWA Index	503080
AYAA Comdty	101010
AZA Curncy	501010
AZA Index	503080
AZAA Curncy	501010
B1A Curncy	501010
B2A Curncy	501010
B5A Comdty	101010
B6A Comdty	304025
BAA Comdty	502020
BAPA Comdty	10102030
BBA Index	509080
BBBA Index	503080
BBDA Index	503080
BBEA Comdty	10105010
BBPA Index	503080
BBSA Comdty	10105010
BBTA Index	503080
BBWA Index	503080
BBYA Index	503080
BCA Index	503080
BCCA Index	101010
BCEA Index	101010
BCLA Curncy	501020
BCWA Index	101010
BCYA Index	503080
BDDA Comdty	401010
BDRA Curncy	501010
BDRA Index	509080
BDSA Comdty	101010
BDWA Curncy	501010
BEA Curncy	501010
BEA Index	503080
BEAA Comdty	10105010
BEBA Comdty	10105010
BEBAQ Comdty	10105010
BEBAY Comdty	10105010
BEEA Comdty	10105010
BESA Index	503080
BFDA Comdty	401020
BFRA Comdty	502030
BGAA Comdty	10103040
BGAA Curncy	501010
BGBA Curncy	501010
BGDA Index	509080
BGRA Curncy	501010
BGYA Index	509080
BHA Comdty	101010
BHA Index	503080
BHBA Comdty	10105010
BHDA Comdty	502010
BHIA Comdty	201030
BHLA Comdty	502010
BHLA Index	503080
BHPA Curncy	501010
BHRA Comdty	502010
BHSA Index	503080
BHTA Comdty	502010
BHWA Comdty	10101080
BIA Comdty	502010
BIIA Index	509080
BITA Comdty	10104020
BITA Curncy	501020
BJA Comdty	502010
BJA Index	503080
BJAA Comdty	201065
BJLA Index	503080
BJSA Comdty	202010
BJSA Index	503080
BKDA Index	503080
BKYA Index	503080
BLA Comdty	103060
BLCA Comdty	303020
BLEA Comdty	10105020
BMA Curncy	501010
BMA Index	503080
BMAA Comdty	10105010
BMCA Curncy	501020
BMLA Index	503080
BMRA Curncy	501020
BMWA Index	503080
BMYA Curncy	501020
BNA Index	503080
BNDA Index	503080
BNRA Comdty	30602010
BNRA Index	503080
BNSA Comdty	30602010
BNSA Index	503080
BNTA Curncy	501010
BNWA Comdty	10105010
BOA Comdty	202510
BOBA Comdty	10101085
BORA Index	504020
BOSA Index	503080
BOYA Index	503080
BPA Comdty	202010
BPA Curncy	501010
BPBA Curncy	501010
BPCA Comdty	101010
BPDA Comdty	401020
BPTA Index	503080
BQA Comdty	102010
BQBA Comdty	101020
BQPA Comdty	101010
BQWA Curncy	501010
BRA Curncy	501010
BRCA Comdty	101010
BRCA Index	101010
BRSA Index	101010
BSBA Comdty	502035
BSCA Comdty	25401045
BSPA Comdty	101010
BSPA Index	503080
BSRA Curncy	501010
BSSA Comdty	20259510
BSTA Comdty	10105010
BSTA Index	503080
BTAA Comdty	502010
BTBA Comdty	10105020
BTCA Comdty	10105010
BTCA Curncy	501020
BTCAQ Comdty	10105010
BTCAY Comdty	10105010
BTDA Comdty	25401016
BTDA Curncy	501020
BTDA Index	503080
BTEA Curncy	501020
BTEAW Comdty	10105010
BTKAW Comdty	10105010
BTLA Comdty	502010
BTLA Index	503080
BTOA Comdty	502010
BTSA Comdty	502010
BTWA Comdty	40101020
BUCA Comdty	10103030
BULA Index	503080
BUOA Comdty	502010
BUPA Comdty	10103050
BUSA Comdty	103535
BUTA Comdty	25401016
BVA Comdty	101040
BVAA Comdty	10103040
BVTA Comdty	10105010
BWA Index	503080
BWCA Index	503080
BWCAQ Comdty	10105010
BWDA Comdty	10101070
BWEAW Comdty	10105010
BWKAW Comdty	10105010
BWTA Index	503080
BXBA Comdty	10105010
BXBAW Comdty	10105020
BXDA Index	503080
BXEA Comdty	10105010
BXIA Index	503080
BXLA Index	503080
BXOA Index	503080
BXRA Index	504020
BXTA Index	504020
BXYA Index	504020
BYAA Comdty	10101080
BYCA Comdty	10105010
BYOA Comdty	10102050
BYOAQ Comdty	10102050
BYOAS Comdty	10102050
BYOAY Comdty	10102050
BYRA Curncy	501010
BYSA Comdty	10102050
BYSA Curncy	501010
BYSAQ Comdty	10102050
BYSAS Comdty	10102050
BYSAY Comdty	10102050
BYTA Index	503080
BYWA Comdty	104020
BYWA Curncy	501010
BYYA Comdty	10105020
BYYA Index	503080
BZA Index	503080
BZAA Comdty	101010
BZBA Comdty	101010
BZCA Comdty	101010
BZIA Comdty	101010
BZLA Comdty	101010
BZSA Comdty	101010
BZTA Comdty	101010
BZWA Index	503080
BZYA Index	503080
C A Comdty	201010
C0A Comdty	20209020
C2A Comdty	203555
C2A Curncy	501010
C3A Comdty	102010
C3A Curncy	501010
C7A Comdty	202640
CAA Comdty	201030
CAA Curncy	501010
CAA Index	503080
CAIA Curncy	501010
CAPA Comdty	10102010
CASA Curncy	501010
CBA Comdty	20305010
CBPA Comdty	502030
CBSA Comdty	201010
CBWA Comdty	201030
CBWAW Comdty	10105010
CCA Comdty	207020
CCA Curncy	501010
CCIA Comdty	10104040
CCLA Comdty	301010
CCPA Comdty	10102030
CCTA Comdty	207020
CCWA Index	503080
CCYA Index	503080
CDA Curncy	501010
CDAA Comdty	10105020
CDBA Curncy	501010
CDOA Comdty	10105030
CDSA Index	503080
CDWA Index	503080
CDYA Index	503080
CEAA Comdty	502010
CEAA Index	503080
CEBA Index	503080
CEEA Index	503080
CEGA Comdty	10102050
CEGAQ Comdty	10102050
CEGAS Comdty	10102050
CEGAY Comdty	10102050
CEIA Comdty	10104040
CEIA Index	503080
CEOA Index	503080
CESA Index	503080
CEWA Index	503080
CEYA Comdty	502010
CEYA Index	503080
CFA Index	503080
CFAA Comdty	10101085
CFCA Index	503080
CFDA Comdty	207010
CFLA Curncy	501010
CFPA Comdty	502030
CFSA Index	503080
CFWA Curncy	501010
CFWA Index	503080
CGA Curncy	501010
CGA Index	504020
CGAA Index	4050
CGBA Comdty	40101030
CGDA Comdty	40101030
CGIA Comdty	40101030
CHA Comdty	10103010
CHA Curncy	501010
CHEA Comdty	25401040
CHLA Comdty	10105020
CHLA Curncy	501010
CHPA Comdty	502030
CHTA Curncy	501010
CHTA Index	503080
CHWA Comdty	101040
CHWA Curncy	501010
CHYA Curncy	501010
CIPA Comdty	502030
CIRA Comdty	401020
CJA Curncy	501010
CJA Index	402010
CJEA Index	503080
CKA Curncy	501010
CKA Index	402010
CKCA Comdty	10104010
CKTA Comdty	10102050
CKTAQ Comdty	10102050
CKTAS Comdty	10102050
CKTAY Comdty	10102050
CLA Comdty	101010
CLA Curncy	501010
CLCA Comdty	10101080
CLIA Comdty	10102030
CLSA Comdty	101010
CLTA Comdty	101010
CLWA Comdty	101010
CMA Curncy	501010
CMDA Comdty	10105030
CMEA Index	509080
CMOA Comdty	10105030
CMPA Comdty	10105020
CMRA Comdty	10102030
CMSA Comdty	30603010
CMSA Index	503080
CNA Comdty	502010
CNA Curncy	501010
CNBA Comdty	10102030
CNLA Comdty	10102030
CNPA Comdty	502030
CNSA Curncy	501010
